id,a_reputation,creationdate
"7894","28744","2008-09-15 14:39:23"
"8114","29953","2008-09-15 15:12:34"
"8152","16572","2008-09-15 15:16:50"
"8155","97006","2008-09-15 15:17:07"
"8207","16678","2008-09-15 15:24:28"
"8262","2100","2008-09-15 15:33:57"
"8279","70237","2008-09-15 15:36:55"
"8338","10956","2008-09-15 15:44:57"
"8384","11575","2008-09-15 15:51:53"
"8388","9303","2008-09-15 15:52:32"
"8411","5585","2008-09-15 15:58:31"
"8427","66945","2008-09-15 15:59:47"
"8435","92300","2008-09-15 16:01:38"
"8454","77202","2008-09-15 16:04:14"
"8638","3765","2008-09-15 16:30:45"
"8786","4954","2008-09-15 16:52:34"
"8815","99563","2008-09-15 16:55:45"
"8844","9254","2008-09-15 16:59:59"
"8922","58072","2008-09-15 17:14:11"
"8946","57256","2008-09-15 17:17:51"
"8999","14751","2008-09-15 17:27:07"
"9021","479426","2008-09-15 17:31:26"
"9047","6512","2008-09-15 17:34:31"
"9073","4646","2008-09-15 17:38:25"
"9128","22309","2008-09-15 17:48:29"
"9167","31425","2008-09-15 17:56:15"
"9254","22307","2008-09-15 18:12:15"
"9360","98671","2008-09-15 18:32:30"
"9371","8909","2008-09-15 18:34:28"
"9403","16295","2008-09-15 18:42:58"
"9453","48887","2008-09-15 18:51:29"
"9474","2939","2008-09-15 18:56:20"
"9493","101607","2008-09-15 18:58:53"
"9530","344167","2008-09-15 19:04:15"
"9625","9081","2008-09-15 19:24:09"
"9636","26371","2008-09-15 19:25:44"
"9711","12305","2008-09-15 19:44:28"
"9719","4072","2008-09-15 19:46:38"
"9787","21951","2008-09-15 19:57:53"
"9842","21046","2008-09-15 20:09:29"
"10018","23168","2008-09-15 20:51:30"
"10077","53674","2008-09-15 21:05:57"
"10080","12472","2008-09-15 21:06:22"
"10202","15362","2008-09-15 21:41:15"
"10286","13095","2008-09-15 22:08:59"
"10320","87271","2008-09-15 22:24:57"
"10322","25770","2008-09-15 22:25:40"
"10397","203786","2008-09-15 22:53:58"
"10527","20264","2008-09-15 23:43:46"
"10583","41701","2008-09-16 00:07:53"
"10629","5774","2008-09-16 00:32:15"
"10651","11086","2008-09-16 00:42:34"
"10661","346837","2008-09-16 00:47:55"
"10673","45833","2008-09-16 00:51:29"
"10682","1684","2008-09-16 00:57:36"
"10771","37263","2008-09-16 01:43:47"
"10897","87972","2008-09-16 02:48:02"
"10923","68","2008-09-16 03:01:08"
"10947","71789","2008-09-16 03:19:04"
"11047","11706","2008-09-16 04:20:43"
"11092","4932","2008-09-16 04:50:02"
"11173","13439","2008-09-16 05:51:30"
"11181","11072","2008-09-16 05:55:08"
"11289","28965","2008-09-16 06:52:29"
"11301","9791","2008-09-16 06:59:24"
"11347","1810","2008-09-16 07:18:17"
"11354","76987","2008-09-16 07:22:00"
"11492","49783","2008-09-16 08:33:50"
"11589","13618","2008-09-16 09:20:04"
"11654","150906","2008-09-16 09:51:23"
"11662","5740","2008-09-16 09:56:48"
"11673","3912","2008-09-16 10:05:49"
"11682","1466","2008-09-16 10:10:46"
"11742","12412","2008-09-16 10:51:42"
"11780","7710","2008-09-16 11:10:21"
"11917","29121","2008-09-16 12:16:35"
"11926","54225","2008-09-16 12:22:52"
"11995","38075","2008-09-16 12:47:26"
"12030","98179","2008-09-16 12:55:37"
"12048","43963","2008-09-16 12:59:38"
"12124","7445","2008-09-16 13:16:26"
"12178","22560","2008-09-16 13:29:35"
"12579","104264","2008-09-16 14:49:28"
"12597","208593","2008-09-16 14:53:25"
"12624","16613","2008-09-16 15:00:34"
"12695","12522","2008-09-16 15:18:48"
"12711","303048","2008-09-16 15:22:32"
"12744","42063","2008-09-16 15:31:30"
"12748","33932","2008-09-16 15:31:52"
"12823","300","2008-09-16 15:49:41"
"12870","206000","2008-09-16 16:02:28"
"12930","10069","2008-09-16 16:17:43"
"12950","472219","2008-09-16 16:22:14"
"12958","10446","2008-09-16 16:24:04"
"12960","246452","2008-09-16 16:24:36"
"13000","36508","2008-09-16 16:35:26"
"13005","249788","2008-09-16 16:36:39"
"13087","110950","2008-09-16 17:00:38"
"13118","15899","2008-09-16 17:10:08"
"13124","356","2008-09-16 17:12:05"
"13154","64393","2008-09-16 17:23:44"
"13189","8829","2008-09-16 17:34:51"
"13226","2627","2008-09-16 17:43:18"
"13249","577320","2008-09-16 17:53:10"
"13279","57373","2008-09-16 18:02:12"
"13302","645593","2008-09-16 18:09:15"
"13422","46305","2008-09-16 18:57:27"
"13430","77295","2008-09-16 19:01:50"
"13442","14185","2008-09-16 19:07:50"
"13447","41815","2008-09-16 19:08:29"
"13467","7083","2008-09-16 19:15:06"
"13502","10316","2008-09-16 19:25:35"
"13508","123603","2008-09-16 19:28:05"
"13531","172172","2008-09-16 19:39:52"
"13627","145907","2008-09-16 20:16:07"
"13663","103746","2008-09-16 20:25:41"
"13688","8826","2008-09-16 20:31:11"
"13724","57748","2008-09-16 20:38:03"
"13792","100558","2008-09-16 20:52:54"
"13895","15499","2008-09-16 21:13:57"
"13911","10133","2008-09-16 21:16:55"
"14007","19386","2008-09-16 21:40:27"
"14065","224772","2008-09-16 21:51:44"
"14089","72530","2008-09-16 21:56:52"
"14104","173240","2008-09-16 22:00:05"
"14122","215389","2008-09-16 22:05:28"
"14148","53018","2008-09-16 22:11:40"
"14160","38604","2008-09-16 22:17:10"
"14343","303122","2008-09-16 23:18:03"
"14357","101175","2008-09-16 23:23:24"
"14606","70404","2008-09-17 01:27:48"
"14637","139161","2008-09-17 01:40:17"
"14660","113755","2008-09-17 01:50:19"
"14663","22270","2008-09-17 01:51:17"
"14731","71437","2008-09-17 02:21:49"
"14768","29265","2008-09-17 02:41:24"
"14860","729001","2008-09-17 03:36:45"
"14877","15247","2008-09-17 03:43:35"
"14955","233403","2008-09-17 04:23:55"
"14971","34894","2008-09-17 04:32:26"
"15008","1093","2008-09-17 05:01:14"
"15031","107618","2008-09-17 05:16:31"
"15046","3916","2008-09-17 05:26:10"
"15055","198678","2008-09-17 05:31:28"
"15148","1078","2008-09-17 06:35:04"
"15168","635951","2008-09-17 06:45:47"
"15255","20911","2008-09-17 07:42:39"
"15275","17091","2008-09-17 07:53:33"
"15360","5925","2008-09-17 08:41:04"
"15409","13593","2008-09-17 09:02:47"
"15416","152989","2008-09-17 09:05:24"
"15472","14085","2008-09-17 09:43:04"
"15498","213112","2008-09-17 09:56:44"
"15537","109866","2008-09-17 10:16:53"
"15570","14574","2008-09-17 10:40:05"
"15721","66175","2008-09-17 12:11:54"
"15727","24774","2008-09-17 12:14:29"
"15858","783","2008-09-17 13:13:38"
"15862","18092","2008-09-17 13:14:34"
"15880","79952","2008-09-17 13:19:13"
"15931","5405","2008-09-17 13:36:04"
"15950","2587","2008-09-17 13:42:14"
"16076","273320","2008-09-17 14:33:58"
"16204","11204","2008-09-17 15:22:39"
"16306","31296","2008-09-17 16:05:52"
"16316","1004","2008-09-17 16:09:20"
"16339","2957","2008-09-17 16:20:54"
"16399","5936","2008-09-17 16:52:13"
"16406","93817","2008-09-17 16:54:47"
"16417","430957","2008-09-17 17:02:31"
"16511","65488","2008-09-17 17:47:33"
"16587","53497","2008-09-17 18:43:55"
"16822","2353","2008-09-17 21:09:17"
"16883","318174","2008-09-17 21:54:55"
"16929","32406","2008-09-17 22:34:22"
"17028","70027","2008-09-18 00:35:00"
"17034","848131","2008-09-18 00:45:29"
"17174","116818","2008-09-18 03:44:10"
"17279","93476","2008-09-18 05:53:12"
"17339","14737","2008-09-18 07:15:25"
"17373","12401","2008-09-18 07:51:51"
"17389","83564","2008-09-18 08:14:35"
"17447","45965","2008-09-18 09:15:57"
"17516","174198","2008-09-18 10:29:51"
"17965","28331","2008-09-18 16:56:43"
"18044","16260","2008-09-18 18:03:24"
"18157","77793","2008-09-18 19:36:30"
"18180","103526","2008-09-18 19:54:08"
"18187","3147","2008-09-18 20:02:41"
"18255","81842","2008-09-18 21:09:06"
"18308","12704","2008-09-18 22:11:29"
"18310","4404","2008-09-18 22:15:31"
"18393","558252","2008-09-19 00:24:47"
"18565","34042","2008-09-19 06:03:39"
"18601","15037","2008-09-19 07:03:36"
"18771","292210","2008-09-19 11:44:16"
"18893","11228","2008-09-19 14:23:17"
"18936","482081","2008-09-17 20:27:26"
"19024","2189","2008-09-19 16:09:53"
"19068","746615","2008-09-19 16:48:26"
"19212","66553","2008-09-19 19:19:10"
"19299","111584","2008-09-19 20:56:26"
"19404","21617","2008-09-19 23:48:35"
"19405","18619","2008-09-19 23:50:44"
"19410","89367","2008-09-20 00:07:45"
"19500","11969","2008-09-20 05:27:23"
"19502","1616","2008-09-20 05:39:01"
"19540","36323","2008-09-20 07:47:18"
"19563","603662","2008-09-20 09:39:05"
"19635","88037","2008-09-20 14:27:15"
"19679","167166","2008-09-20 15:57:51"
"19746","85723","2008-09-20 19:31:13"
"19839","20339","2008-09-21 03:13:30"
"19880","4441","2008-09-21 08:24:02"
"19964","16448","2008-09-21 14:09:26"
"20010","21398","2008-09-21 17:42:58"
"20047","22908","2008-09-21 19:57:51"
"20126","55636","2008-09-21 23:21:25"
"20135","11003","2008-09-21 23:53:38"
"20178","22698","2008-09-22 03:00:27"
"20261","86213","2008-09-22 07:12:50"
"20270","31024","2008-09-22 07:43:18"
"20322","24737","2008-09-22 09:28:23"
"20382","23199","2008-09-22 11:42:45"
"20385","937","2008-09-22 11:46:09"
"20394","104950","2008-09-22 11:56:32"
"20426","17675","2008-09-22 13:10:21"
"20520","17027","2008-09-19 23:05:02"
"20634","22421","2008-09-22 18:14:38"
"20670","280829","2008-09-22 19:14:24"
"20703","8166","2008-09-22 19:56:19"
"20713","171946","2008-09-22 20:08:10"
"20745","61487","2008-09-22 21:00:28"
"20856","13534","2008-09-23 01:56:45"
"20860","433636","2008-09-23 02:05:00"
"20862","661704","2008-09-23 02:06:20"
"20972","86674","2008-09-23 08:41:47"
"20980","10570","2008-09-23 08:57:59"
"21028","9839","2008-09-23 10:34:35"
"21062","43008","2008-09-23 11:56:56"
"21229","7930","2008-09-23 16:31:16"
"21234","372032","2008-09-23 16:38:35"
"21284","6203","2008-09-23 17:52:59"
"21434","3191","2008-09-23 23:33:12"
"21499","21555","2008-09-24 05:41:57"
"21501","23433","2008-09-24 05:54:22"
"21567","40350","2008-09-24 09:13:59"
"21574","61140","2008-09-24 09:22:50"
"21632","95025","2008-09-24 12:13:26"
"21634","17773","2008-09-24 12:16:13"
"21886","230064","2008-09-24 21:02:45"
"21945","67621","2008-09-25 00:28:14"
"21962","5628","2008-09-25 01:44:41"
"21974","43266","2008-09-25 02:30:54"
"22180","1008","2008-09-25 14:00:15"
"22224","53496","2008-09-25 15:25:43"
"22294","13113","2008-09-25 17:40:31"
"22459","62993","2008-09-25 23:06:55"
"22470","36578","2008-09-25 23:40:28"
"22489","26100","2008-09-26 00:49:33"
"22517","6868","2008-09-26 03:11:01"
"22621","5933","2008-09-26 10:11:19"
"22656","1201628","2008-09-26 12:05:05"
"22674","21693","2008-09-26 12:48:33"
"22777","7739","2008-09-26 17:14:26"
"22927","42249","2008-09-27 04:40:32"
"22970","11370","2008-09-27 10:10:47"
"22982","42463","2008-09-27 12:26:49"
"23072","82815","2008-09-27 21:54:26"
"23199","88090","2008-09-28 15:10:39"
"23263","26360","2008-09-28 20:39:38"
"23264","25761","2008-09-28 20:44:51"
"23283","643617","2008-09-28 22:59:43"
"23354","880681","2008-09-29 05:46:02"
"23478","38400","2008-09-29 15:07:19"
"23524","14870","2008-09-29 17:05:10"
"23528","168744","2008-09-29 17:08:04"
"23632","10947","2008-09-30 00:22:22"
"23633","22959","2008-09-30 00:27:58"
"23691","68251","2008-09-30 06:49:07"
"23705","7461","2008-09-30 07:54:21"
"23845","24563","2008-09-30 16:50:54"
"23883","1751","2008-09-30 18:37:28"
"24109","22633","2008-10-01 12:21:09"
"24181","284074","2008-10-01 15:15:11"
"24468","25157","2008-10-02 11:53:16"
"24545","142790","2008-10-02 15:44:37"
"24950","28037","2008-10-03 18:53:12"
"24954","9869","2008-10-03 19:06:44"
"25050","88390","2008-10-04 02:05:27"
"25083","17877","2008-10-04 08:48:54"
"25122","31169","2008-10-04 15:03:27"
"25124","29159","2008-10-04 15:14:46"
"25152","36666","2008-10-04 18:16:54"
"25201","17923","2008-10-05 00:11:46"
"25222","93463","2008-10-05 04:13:49"
"25251","3103","2008-10-05 11:52:25"
"25300","24163","2008-10-05 17:21:53"
"25324","93873","2008-10-05 20:14:53"
"25338","9682","2008-10-05 21:37:01"
"25398","30086","2008-10-06 05:56:26"
"25427","11381","2008-10-06 09:03:26"
"25466","2085","2008-10-06 12:04:25"
"25646","159519","2008-10-06 22:13:23"
"25688","20486","2008-10-07 01:55:54"
"25714","33652","2008-10-07 05:56:24"
"25771","705","2008-10-07 11:07:24"
"25824","10090","2008-10-07 13:52:24"
"25952","1336","2008-10-07 20:36:22"
"26039","20206","2008-10-08 06:12:39"
"26056","2417","2008-10-08 07:50:41"
"26095","53984","2008-10-08 10:39:15"
"26115","4935","2008-10-08 11:56:13"
"26133","25718","2008-10-08 13:10:27"
"26188","52362","2008-10-08 15:35:46"
"26210","84593","2008-10-08 16:37:12"
"26244","1202","2008-10-08 18:42:52"
"26331","6117","2008-10-09 00:17:44"
"26335","5941","2008-10-09 00:46:48"
"26406","38977","2008-10-09 07:32:46"
"26479","7491","2008-10-09 12:32:48"
"26510","49236","2008-10-09 14:28:19"
"26620","28691","2008-10-09 19:44:49"
"26860","2471","2008-10-10 15:19:56"
"26933","8933","2008-10-10 19:04:18"
"27009","88095","2008-10-11 02:22:54"
"27012","9812","2008-10-11 04:19:52"
"27073","6073","2008-10-11 15:51:52"
"27190","1687","2008-10-12 10:31:58"
"27195","992","2008-10-12 11:05:06"
"27358","36053","2008-10-13 09:24:59"
"27414","47106","2008-10-13 13:15:10"
"27491","29560","2008-10-13 15:51:32"
"27528","50121","2008-10-13 16:55:29"
"27535","380000","2008-10-13 17:10:51"
"27620","10456","2008-10-13 21:04:31"
"27678","33262","2008-10-14 01:10:56"
"27727","43924","2008-10-14 05:13:00"
"27862","121269","2008-10-14 14:32:27"
"27936","64","2008-10-14 17:19:57"
"27968","14707","2008-10-14 18:41:19"
"28169","350515","2008-10-15 09:20:48"
"28258","37429","2008-10-15 14:09:35"
"28278","38917","2008-10-15 15:09:54"
"28343","7197","2008-10-15 18:38:42"
"28376","49357","2008-10-15 20:32:45"
"28388","37327","2008-10-15 20:59:58"
"28401","48013","2008-10-15 21:50:56"
"28736","8208","2008-10-16 21:19:31"
"28835","78222","2008-10-17 06:48:24"
"28875","17638","2008-10-17 10:46:19"
"29068","22757","2008-10-17 19:21:06"
"29084","1395","2008-10-17 20:08:35"
"29157","43927","2008-10-18 02:20:48"
"29407","924817","2008-10-19 16:07:47"
"29538","7536","2008-10-20 09:18:42"
"29639","40140","2008-10-20 14:54:58"
"29809","68779","2008-10-20 23:21:23"
"29812","3309","2008-10-20 23:33:51"
"29995","107402","2008-10-21 15:14:46"
"30155","39374","2008-10-21 22:20:59"
"30203","4267","2008-10-22 01:43:21"
"30246","8172","2008-10-22 06:21:59"
"30280","39668","2008-10-22 09:18:42"
"30300","5471","2008-10-22 10:16:20"
"30341","12967","2008-10-22 12:04:31"
"30384","5154","2008-10-22 14:21:47"
"30433","19844","2008-10-22 16:27:10"
"30461","92834","2008-10-22 17:53:37"
"30587","36455","2008-10-23 00:14:24"
"30594","11721","2008-10-23 00:40:03"
"30602","8315","2008-10-23 01:12:06"
"30741","494","2008-10-23 10:47:02"
"30913","19375","2008-10-23 18:07:08"
"30945","10981","2008-10-23 19:53:47"
"31039","7658","2008-10-24 01:18:18"
"31284","22054","2008-10-24 18:33:24"
"31444","15031","2008-10-25 14:57:08"
"31474","6708","2008-10-25 18:51:41"
"31480","26146","2008-10-25 19:38:50"
"31532","10637","2008-10-26 02:05:50"
"31610","81434","2008-10-26 17:16:50"
"31667","29630","2008-10-27 00:19:37"
"31668","24788","2008-10-27 00:34:30"
"31671","416870","2008-10-27 01:07:58"
"31945","44215","2008-10-28 02:40:38"
"32055","6029","2008-10-28 12:57:28"
"32127","1710","2008-10-28 16:45:07"
"32133","48541","2008-10-28 17:04:39"
"32140","6001","2008-10-28 17:44:14"
"32241","3743","2008-10-29 00:31:22"
"32636","3758","2008-10-30 02:12:03"
"32836","5674","2008-10-30 17:14:02"
"32914","76189","2008-10-30 22:10:38"
"33006","109450","2008-10-31 07:08:15"
"33204","11416","2008-10-31 20:03:03"
"33213","222193","2008-10-31 20:31:36"
"33225","58930","2008-10-31 21:47:27"
"33226","39349","2008-10-31 21:53:12"
"33264","29375","2008-11-01 02:18:32"
"33611","12179","2008-11-03 11:15:09"
"33686","105360","2008-11-03 15:59:37"
"33708","376824","2008-11-03 17:41:05"
"33732","153804","2008-11-03 19:14:48"
"33885","13320","2008-11-04 02:46:21"
"33886","953","2008-11-04 02:56:46"
"33949","4031","2008-11-04 06:20:07"
"34088","286392","2008-11-04 11:46:49"
"34092","20541","2008-11-04 11:52:25"
"34183","4976","2008-11-04 14:32:27"
"34211","308034","2008-11-04 15:58:57"
"34258","40553","2008-11-04 16:55:45"
"34397","764376","2008-11-04 20:16:45"
"34509","450594","2008-11-05 00:38:23"
"34796","33370","2008-11-05 18:41:59"
"34824","56791","2008-11-05 20:09:26"
"34985","2439","2008-11-06 07:30:10"
"35070","237478","2008-11-06 12:54:37"
"35091","8126","2008-11-06 14:07:36"
"35148","5525","2008-11-06 16:02:28"
"35364","142685","2008-11-07 04:08:19"
"35496","4281","2008-11-07 14:40:46"
"35634","31562","2008-11-07 21:56:36"
"36007","38575","2008-11-09 22:20:06"
"36130","785","2008-11-10 09:39:10"
"36175","8788","2008-11-10 13:02:06"
"36305","224555","2008-11-10 19:55:35"
"36384","19248","2008-11-11 00:09:38"
"36565","186878","2008-11-11 13:38:13"
"36656","10314","2008-11-11 17:56:35"
"36679","4321","2008-11-11 19:49:33"
"36723","195670","2008-11-11 21:53:33"
"36821","754","2008-11-12 06:51:46"
"36862","4586","2008-11-12 10:13:29"
