,hours_for_accepted_answer,nanswers,view_count,answersviews
3601,2428.9352777777776,2.0,372.0,0.005376344086021506
84767,2397.865277777778,2.0,12165.0,0.00016440608302507192
230314,2313.9141666666665,1.0,46.0,0.021739130434782608
189155,2232.456388888889,1.0,377.0,0.002652519893899204
201057,2223.3372222222224,2.0,185.0,0.010810810810810811
100284,2202.514722222222,2.0,141.0,0.014184397163120567
63867,2178.054722222222,2.0,7693.0,0.0002599766021058105
120061,2166.425277777778,3.0,3537.0,0.0008481764206955047
61279,2163.3547222222223,1.0,4830.0,0.00020703933747412008
92441,2126.8744444444446,2.0,3160.0,0.0006329113924050633
14134,2119.638611111111,1.0,120.0,0.008333333333333333
169079,2110.928888888889,1.0,658.0,0.001519756838905775
175178,2108.4866666666667,2.0,205.0,0.00975609756097561
50913,2092.1033333333335,3.0,300.0,0.01
151203,2058.6922222222224,2.0,6694.0,0.00029877502240812666
73536,2029.8419444444444,2.0,1577.0,0.0012682308180088776
173837,1999.2630555555556,1.0,166.0,0.006024096385542169
159756,1959.7833333333333,3.0,330.0,0.00909090909090909
104147,1948.5069444444443,1.0,662.0,0.0015105740181268882
2226,1943.0566666666666,5.0,2150.0,0.002325581395348837
25036,1941.451111111111,4.0,6136.0,0.000651890482398957
170477,1935.3794444444445,3.0,20667.0,0.00014515894904920887
117875,1862.8644444444444,2.0,215.0,0.009302325581395349
127514,1860.9822222222222,1.0,282.0,0.0035460992907801418
79884,1815.6861111111111,1.0,303.0,0.0033003300330033004
187196,1777.6236111111111,1.0,454.0,0.0022026431718061676
100761,1777.1591666666666,1.0,67.0,0.014925373134328358
116093,1751.755,1.0,3118.0,0.00032071840923669016
110355,1738.1591666666666,1.0,421.0,0.0023752969121140144
192906,1663.54,3.0,1418.0,0.0021156558533145277
148933,1653.273888888889,1.0,137.0,0.0072992700729927005
3416,1633.675,4.0,2957.0,0.0013527223537368955
152284,1592.4808333333333,2.0,256.0,0.0078125
63046,1580.5658333333333,2.0,1238.0,0.0016155088852988692
187574,1556.0691666666667,1.0,61.0,0.01639344262295082
163521,1460.0297222222223,3.0,3350.0,0.0008955223880597015
157970,1457.4152777777779,2.0,1277.0,0.0015661707126076742
219320,1407.1452777777777,1.0,61.0,0.01639344262295082
165848,1394.236388888889,1.0,181.0,0.0055248618784530384
4420,1393.4375,1.0,508.0,0.001968503937007874
182409,1351.0966666666666,1.0,806.0,0.0012406947890818859
81658,1342.368611111111,1.0,117.0,0.008547008547008548
97198,1334.1591666666666,1.0,1603.0,0.0006238303181534623
10277,1305.2325,3.0,2018.0,0.0014866204162537165
73331,1274.1975,3.0,5530.0,0.00054249547920434
144111,1273.3880555555556,1.0,253.0,0.003952569169960474
2022,1223.3763888888889,2.0,2421.0,0.0008261049153242462
212473,1210.236111111111,2.0,1575.0,0.0012698412698412698
43791,1206.4377777777777,2.0,459.0,0.004357298474945534
112342,1198.6508333333334,1.0,235.0,0.00425531914893617
53233,1184.7983333333334,1.0,8460.0,0.00011820330969267139
19176,1172.0252777777778,2.0,911.0,0.0021953896816684962
188884,1149.1158333333333,1.0,280.0,0.0035714285714285713
104160,1144.3575,2.0,3019.0,0.000662471016893011
135979,1140.2736111111112,1.0,741.0,0.001349527665317139
187260,1111.006388888889,1.0,1051.0,0.0009514747859181732
65516,1097.3608333333334,1.0,882.0,0.0011337868480725624
124414,1096.2547222222222,2.0,3093.0,0.0006466214031684449
9981,1067.1394444444445,2.0,213.0,0.009389671361502348
69173,1039.611388888889,2.0,13825.0,0.00014466546112115733
102734,1025.795,1.0,250.0,0.004
102676,1023.3988888888889,2.0,10637.0,0.00018802293879853342
29936,1020.2541666666667,1.0,176.0,0.005681818181818182
178965,1016.9747222222222,1.0,1599.0,0.0006253908692933083
93939,1012.8316666666667,2.0,1081.0,0.0018501387604070306
121335,1009.6655555555556,3.0,347.0,0.008645533141210375
93245,1008.8280555555556,2.0,1283.0,0.001558846453624318
37208,1007.7005555555555,4.0,1341.0,0.002982848620432513
115161,989.9533333333334,1.0,849.0,0.001177856301531213
229928,981.6355555555556,1.0,1249.0,0.0008006405124099279
148369,976.9688888888888,1.0,160.0,0.00625
31636,969.9483333333334,3.0,2103.0,0.0014265335235378032
37196,964.0480555555556,3.0,3998.0,0.0007503751875937969
129951,962.3244444444445,2.0,3729.0,0.0005363368195226602
53864,936.9869444444445,3.0,203.0,0.014778325123152709
154827,885.45,1.0,91.0,0.01098901098901099
165778,882.4205555555556,3.0,1570.0,0.001910828025477707
119107,882.2102777777778,3.0,3842.0,0.0007808433107756377
14717,867.4352777777777,3.0,1208.0,0.0024834437086092716
10722,865.0116666666667,1.0,3395.0,0.0002945508100147275
180706,862.6663888888888,1.0,1519.0,0.0006583278472679394
226597,808.3875,1.0,63.0,0.015873015873015872
9932,807.3372222222222,2.0,426.0,0.004694835680751174
163516,797.3297222222222,2.0,1118.0,0.0017889087656529517
110558,795.7483333333333,2.0,487.0,0.004106776180698152
47334,795.5752777777777,2.0,1173.0,0.0017050298380221654
119855,790.4572222222222,1.0,420.0,0.002380952380952381
219368,789.9494444444445,4.0,213.0,0.018779342723004695
30818,789.7175,2.0,1491.0,0.0013413816230717639
63432,767.6272222222223,2.0,1206.0,0.001658374792703151
90009,745.5572222222222,2.0,3530.0,0.0005665722379603399
166675,744.0811111111111,2.0,1056.0,0.001893939393939394
199232,740.1136111111111,1.0,764.0,0.0013089005235602095
54009,739.0013888888889,1.0,1530.0,0.00065359477124183
93542,738.9977777777777,3.0,11422.0,0.00026265102433899493
146996,735.7077777777778,4.0,10492.0,0.0003812428516965307
1766,735.1122222222223,2.0,537.0,0.0037243947858473
161956,725.9316666666666,3.0,821.0,0.0036540803897685747
126737,725.8688888888889,2.0,4685.0,0.00042689434364994664
192404,724.7269444444445,2.0,248.0,0.008064516129032258
46764,724.3111111111111,2.0,141.0,0.014184397163120567
154840,723.7227777777778,2.0,131.0,0.015267175572519083
35977,723.4213888888889,2.0,12599.0,0.00015874275736169538
192164,697.4552777777777,2.0,234.0,0.008547008547008548
12428,676.7255555555555,3.0,910.0,0.0032967032967032967
141203,673.6502777777778,1.0,1422.0,0.0007032348804500703
158420,661.7980555555556,1.0,625.0,0.0016
212128,650.4238888888889,2.0,178.0,0.011235955056179775
16796,644.1558333333334,2.0,802.0,0.0024937655860349127
96401,639.0811111111111,1.0,145.0,0.006896551724137931
157641,620.2136111111112,1.0,438.0,0.00228310502283105
214540,601.2925,1.0,140.0,0.007142857142857143
172815,574.2369444444445,1.0,446.0,0.002242152466367713
43436,565.1988888888889,7.0,34668.0,0.00020191531094957885
145850,564.0961111111111,2.0,835.0,0.0023952095808383233
115284,562.73,1.0,2338.0,0.000427715996578272
220308,557.8455555555555,1.0,96.0,0.010416666666666666
161878,552.0394444444445,1.0,483.0,0.002070393374741201
219624,542.1236111111111,3.0,851.0,0.0035252643948296123
96999,514.635,4.0,15138.0,0.0002642356982428326
84491,510.9238888888889,1.0,1241.0,0.0008058017727639
148165,505.6638888888889,6.0,5601.0,0.0010712372790573112
56895,498.2725,1.0,559.0,0.0017889087656529517
186033,491.0622222222222,2.0,817.0,0.0024479804161566705
183056,488.1147222222222,1.0,107.0,0.009345794392523364
56619,486.6463888888889,1.0,182.0,0.005494505494505495
63218,486.1686111111111,2.0,878.0,0.002277904328018223
162991,478.0058333333333,1.0,66.0,0.015151515151515152
172719,477.6336111111111,1.0,1735.0,0.0005763688760806917
84507,473.05055555555555,1.0,1514.0,0.0006605019815059445
12131,464.12833333333333,1.0,8818.0,0.00011340440009072352
103515,463.0419444444444,1.0,2358.0,0.00042408821034775233
43740,460.5372222222222,2.0,4258.0,0.0004697040864255519
108693,445.065,1.0,1424.0,0.0007022471910112359
175591,443.8338888888889,1.0,108.0,0.009259259259259259
123782,440.40194444444444,1.0,173.0,0.005780346820809248
171628,434.0780555555556,1.0,130.0,0.007692307692307693
80814,431.7561111111111,2.0,288.0,0.006944444444444444
15349,428.81,1.0,287.0,0.003484320557491289
219976,427.93444444444447,1.0,93.0,0.010752688172043012
146065,423.6611111111111,2.0,763.0,0.002621231979030144
20022,407.73833333333334,1.0,7859.0,0.0001272426517368622
81758,406.225,2.0,588.0,0.003401360544217687
220136,405.84277777777777,2.0,287.0,0.006968641114982578
20187,398.2966666666667,3.0,28285.0,0.0001060632844263744
4253,379.89222222222224,1.0,458.0,0.002183406113537118
20659,371.66305555555556,2.0,195.0,0.010256410256410256
978,370.05444444444447,2.0,2306.0,0.0008673026886383347
1322,365.2008333333333,5.0,1298.0,0.003852080123266564
65246,364.23583333333335,2.0,119.0,0.01680672268907563
71986,361.94444444444446,1.0,1277.0,0.0007830853563038371
118007,358.57916666666665,3.0,1298.0,0.0023112480739599386
170448,344.15444444444444,2.0,532.0,0.0037593984962406013
67346,339.9555555555556,2.0,796.0,0.002512562814070352
48927,337.1961111111111,1.0,1805.0,0.000554016620498615
19436,331.78833333333336,5.0,1854.0,0.002696871628910464
129366,328.60333333333335,1.0,159.0,0.006289308176100629
146816,321.50194444444446,1.0,1098.0,0.0009107468123861566
82562,319.3691666666667,2.0,10931.0,0.00018296587686396487
42601,315.1622222222222,2.0,527.0,0.003795066413662239
187144,314.0538888888889,1.0,491.0,0.002036659877800407
170955,313.7077777777778,1.0,521.0,0.0019193857965451055
145172,306.68805555555554,1.0,618.0,0.0016181229773462784
153557,304.6088888888889,1.0,416.0,0.002403846153846154
175743,299.42083333333335,3.0,1111.0,0.0027002700270027003
83089,295.2627777777778,1.0,2448.0,0.0004084967320261438
109197,295.1277777777778,1.0,988.0,0.0010121457489878543
67539,290.84583333333336,5.0,1595.0,0.003134796238244514
55613,285.80833333333334,1.0,1021.0,0.0009794319294809011
61110,276.6175,2.0,6255.0,0.000319744204636291
62268,271.94138888888887,3.0,6580.0,0.0004559270516717325
177339,268.28444444444443,2.0,862.0,0.002320185614849188
25966,267.34277777777777,3.0,1348.0,0.002225519287833828
112407,263.80055555555555,2.0,1489.0,0.001343183344526528
121762,263.55694444444447,2.0,1905.0,0.0010498687664041995
58586,262.75055555555554,3.0,316.0,0.00949367088607595
77200,262.50694444444446,1.0,414.0,0.0024154589371980675
11860,261.2583333333333,4.0,4824.0,0.0008291873963515755
15207,255.8061111111111,1.0,472.0,0.00211864406779661
222527,255.2188888888889,1.0,347.0,0.002881844380403458
197167,250.8475,1.0,1512.0,0.0006613756613756613
46973,248.14222222222222,1.0,953.0,0.001049317943336831
17407,247.10805555555555,3.0,67610.0,4.4372134299659814e-05
77122,242.35722222222222,1.0,824.0,0.0012135922330097086
4213,238.025,3.0,1228.0,0.0024429967426710096
146666,235.26777777777778,1.0,1003.0,0.0009970089730807576
231727,232.0572222222222,1.0,92.0,0.010869565217391304
164935,230.29333333333332,3.0,660.0,0.004545454545454545
59220,229.1561111111111,1.0,11705.0,8.543357539513029e-05
220499,226.42805555555555,4.0,169.0,0.023668639053254437
6641,218.83444444444444,2.0,608.0,0.003289473684210526
169074,216.94416666666666,1.0,1236.0,0.0008090614886731392
183811,215.30194444444444,1.0,149.0,0.006711409395973154
59470,214.24527777777777,2.0,13418.0,0.00014905351021016544
127432,213.85055555555556,7.0,2412.0,0.002902155887230514
159417,212.15,1.0,422.0,0.002369668246445498
121097,204.725,3.0,5216.0,0.0005751533742331289
24444,204.08416666666668,2.0,23937.0,8.355265906337469e-05
103226,201.495,1.0,1471.0,0.0006798096532970768
14569,200.75555555555556,2.0,2216.0,0.0009025270758122744
133345,199.32972222222222,2.0,338.0,0.005917159763313609
176216,198.71444444444444,3.0,1498.0,0.0020026702269692926
63592,192.58805555555554,1.0,678.0,0.0014749262536873156
65104,192.18972222222223,2.0,2122.0,0.000942507068803016
109139,191.3461111111111,1.0,1424.0,0.0007022471910112359
184919,190.68916666666667,3.0,471.0,0.006369426751592357
43639,189.80694444444444,2.0,85601.0,2.3364213034894452e-05
65361,188.44805555555556,1.0,5941.0,0.000168321831341525
130091,187.2475,2.0,414.0,0.004830917874396135
16806,185.15027777777777,1.0,587.0,0.0017035775127768314
3681,183.7902777777778,5.0,1785.0,0.0028011204481792717
7849,180.33916666666667,6.0,11998.0,0.0005000833472245374
62212,180.31472222222223,4.0,2100.0,0.0019047619047619048
25897,179.58,1.0,1769.0,0.0005652911249293386
177999,179.55833333333334,1.0,51.0,0.0196078431372549
203757,178.30805555555557,1.0,246.0,0.0040650406504065045
147071,175.1627777777778,1.0,410.0,0.0024390243902439024
21005,174.24083333333334,5.0,1740.0,0.0028735632183908046
122789,173.3738888888889,4.0,1918.0,0.0020855057351407717
2770,173.29222222222222,3.0,554.0,0.005415162454873646
105263,171.70055555555555,1.0,13522.0,7.395355716609969e-05
189326,170.96083333333334,1.0,3193.0,0.00031318509238960227
207777,170.6913888888889,2.0,1552.0,0.001288659793814433
96589,170.17916666666667,1.0,445.0,0.0022471910112359553
74134,169.17194444444445,1.0,2820.0,0.0003546099290780142
2243,167.80333333333334,3.0,4026.0,0.0007451564828614009
192548,166.02416666666667,1.0,99.0,0.010101010101010102
207351,164.94722222222222,2.0,303.0,0.006600660066006601
193683,164.59916666666666,2.0,244.0,0.00819672131147541
119682,164.37472222222223,2.0,213.0,0.009389671361502348
230236,164.0088888888889,1.0,61.0,0.01639344262295082
204681,163.5738888888889,4.0,604.0,0.006622516556291391
131074,160.65583333333333,1.0,141.0,0.0070921985815602835
141336,159.9813888888889,2.0,9550.0,0.0002094240837696335
2582,157.90166666666667,2.0,729.0,0.0027434842249657062
219053,157.61666666666667,1.0,95.0,0.010526315789473684
9945,157.32527777777779,5.0,6478.0,0.0007718431614695894
70579,157.2488888888889,1.0,16408.0,6.094588005850804e-05
201396,156.67472222222221,1.0,559.0,0.0017889087656529517
121080,156.46027777777778,2.0,3355.0,0.0005961251862891207
223290,154.20472222222222,1.0,1356.0,0.0007374631268436578
127808,152.7252777777778,4.0,9272.0,0.0004314063848144953
7911,152.14083333333335,5.0,15637.0,0.0003197544285988361
232583,149.73305555555555,1.0,90.0,0.011111111111111112
214415,149.7097222222222,2.0,240.0,0.008333333333333333
90962,148.15083333333334,1.0,305.0,0.003278688524590164
210593,145.7125,1.0,277.0,0.0036101083032490976
18022,145.59,1.0,439.0,0.002277904328018223
76928,143.98166666666665,2.0,1937.0,0.0010325245224574084
128801,143.63472222222222,2.0,165.0,0.012121212121212121
105475,142.59,4.0,6590.0,0.0006069802731411229
60815,142.42305555555555,2.0,595.0,0.0033613445378151263
150228,142.19722222222222,2.0,3030.0,0.0006600660066006601
1180,141.3361111111111,6.0,9259.0,0.0006480181445080463
175412,140.42333333333335,1.0,659.0,0.0015174506828528073
46563,140.1963888888889,1.0,124.0,0.008064516129032258
116629,140.17888888888888,2.0,725.0,0.002758620689655172
209277,139.755,1.0,156.0,0.00641025641025641
109339,139.28444444444443,1.0,4472.0,0.00022361359570661896
32640,134.49138888888888,3.0,195.0,0.015384615384615385
181473,132.30194444444444,4.0,1458.0,0.0027434842249657062
199292,131.05416666666667,2.0,378.0,0.005291005291005291
190271,130.85833333333332,2.0,387.0,0.00516795865633075
190444,130.19055555555556,2.0,1148.0,0.0017421602787456446
195863,129.45472222222222,2.0,809.0,0.002472187886279357
110218,126.57972222222222,1.0,187.0,0.0053475935828877
205723,124.77,1.0,1046.0,0.0009560229445506692
176635,123.58972222222222,1.0,2436.0,0.00041050903119868636
137419,123.36194444444445,2.0,1721.0,0.0011621150493898896
187254,122.94777777777777,2.0,510.0,0.00392156862745098
90932,122.44111111111111,2.0,5665.0,0.000353045013239188
133626,121.70666666666666,2.0,239.0,0.008368200836820083
1238,121.45333333333333,7.0,3089.0,0.0022661055357720947
126812,121.3561111111111,1.0,90.0,0.011111111111111112
227433,121.21694444444445,1.0,129.0,0.007751937984496124
181282,119.87305555555555,1.0,3723.0,0.00026860059092130003
167679,119.66722222222222,2.0,423.0,0.004728132387706856
18168,119.61583333333333,3.0,742.0,0.004043126684636119
175125,119.47333333333333,1.0,793.0,0.0012610340479192938
35880,119.02,5.0,8928.0,0.0005600358422939068
163167,118.41555555555556,3.0,449.0,0.0066815144766146995
5786,118.0375,2.0,2605.0,0.0007677543186180423
71176,118.00083333333333,1.0,1253.0,0.0007980845969672786
185995,116.99638888888889,2.0,3189.0,0.0006271558482282847
184011,116.47888888888889,2.0,894.0,0.0022371364653243847
55314,116.06694444444445,4.0,2543.0,0.0015729453401494297
170785,115.47555555555556,2.0,209.0,0.009569377990430622
41966,114.32277777777777,4.0,6239.0,0.0006411283859592883
98372,113.12583333333333,4.0,212.0,0.018867924528301886
141324,112.97416666666666,3.0,1324.0,0.0022658610271903325
158971,112.82416666666667,1.0,656.0,0.001524390243902439
102464,112.61611111111111,2.0,63.0,0.031746031746031744
119322,112.13583333333334,2.0,1160.0,0.0017241379310344827
134878,111.69916666666667,1.0,160.0,0.00625
153583,110.5663888888889,1.0,5676.0,0.00017618040873854828
100146,109.8411111111111,1.0,86.0,0.011627906976744186
15491,109.57416666666667,3.0,2858.0,0.0010496850944716584
95308,109.15583333333333,2.0,1619.0,0.0012353304508956147
90503,107.43638888888889,1.0,3416.0,0.0002927400468384075
103671,106.95027777777777,3.0,244.0,0.012295081967213115
163115,106.54888888888888,1.0,987.0,0.0010131712259371835
7084,106.49027777777778,4.0,2087.0,0.0019166267369429804
163553,106.41722222222222,1.0,390.0,0.002564102564102564
82083,105.73694444444445,1.0,7382.0,0.000135464643727987
154886,105.69777777777777,1.0,748.0,0.001336898395721925
8602,104.51861111111111,3.0,44657.0,6.71787177822066e-05
230530,102.4525,1.0,89.0,0.011235955056179775
198208,102.04055555555556,3.0,266.0,0.011278195488721804
34136,101.94777777777777,2.0,1872.0,0.0010683760683760685
145373,101.72888888888889,4.0,301.0,0.013289036544850499
130274,101.45666666666666,2.0,2489.0,0.0008035355564483728
159929,100.85416666666667,2.0,720.0,0.002777777777777778
46080,100.44166666666666,1.0,11476.0,8.71383757406762e-05
93820,99.61666666666666,1.0,23492.0,4.256768261535842e-05
86456,99.48388888888888,1.0,1106.0,0.0009041591320072332
34339,98.4413888888889,2.0,927.0,0.002157497303128371
43750,97.85194444444444,2.0,382.0,0.005235602094240838
109374,97.21694444444445,1.0,7295.0,0.00013708019191226866
91407,96.43027777777777,9.0,790.0,0.01139240506329114
163049,96.0225,2.0,20209.0,9.896580731357316e-05
58115,95.79138888888889,3.0,286.0,0.01048951048951049
15797,94.49388888888889,2.0,648.0,0.0030864197530864196
223178,94.4525,2.0,574.0,0.003484320557491289
139879,94.16972222222222,2.0,584.0,0.003424657534246575
151507,93.73027777777777,2.0,3229.0,0.0006193868070610096
18310,93.09777777777778,1.0,637.0,0.0015698587127158557
221779,91.90583333333333,1.0,168.0,0.005952380952380952
227105,89.2775,1.0,225.0,0.0044444444444444444
30135,88.42027777777778,4.0,5170.0,0.0007736943907156673
154862,87.32944444444445,1.0,915.0,0.001092896174863388
96117,86.50722222222223,2.0,1295.0,0.0015444015444015444
118854,86.25555555555556,2.0,9257.0,0.00021605271686291454
183685,86.00916666666667,1.0,3371.0,0.0002966478789676654
54734,85.46944444444445,4.0,14596.0,0.0002740476842970677
170649,85.01277777777777,1.0,42.0,0.023809523809523808
187792,84.94222222222223,3.0,2059.0,0.0014570179698882952
226407,84.70222222222222,1.0,107.0,0.009345794392523364
198314,83.52944444444445,1.0,486.0,0.00205761316872428
184778,83.37277777777778,2.0,208.0,0.009615384615384616
188188,82.15083333333334,1.0,799.0,0.0012515644555694619
155360,81.98583333333333,2.0,1585.0,0.0012618296529968455
81677,79.64944444444444,7.0,58288.0,0.00012009332967334615
12568,78.64861111111111,2.0,12525.0,0.0001596806387225549
66318,78.26472222222222,3.0,3907.0,0.0007678525723061172
129855,77.70833333333333,2.0,458.0,0.004366812227074236
139547,76.51027777777777,1.0,197.0,0.005076142131979695
44489,76.17888888888889,4.0,3998.0,0.0010005002501250625
167276,76.12,1.0,330.0,0.0030303030303030303
12164,75.40916666666666,2.0,2251.0,0.000888494002665482
159406,74.59027777777777,2.0,2739.0,0.0007301935012778386
197940,73.90722222222222,2.0,1936.0,0.0010330578512396695
112878,73.47083333333333,2.0,3625.0,0.0005517241379310345
198291,73.13138888888889,1.0,150.0,0.006666666666666667
94885,73.05277777777778,2.0,1061.0,0.001885014137606032
109173,72.72277777777778,1.0,520.0,0.0019230769230769232
31415,71.95722222222223,1.0,1864.0,0.000536480686695279
136356,71.93055555555556,3.0,1002.0,0.0029940119760479044
40594,71.39138888888888,1.0,181.0,0.0055248618784530384
56201,69.76166666666667,1.0,570.0,0.0017543859649122807
193815,69.48472222222222,4.0,778.0,0.005141388174807198
129122,69.40805555555555,2.0,2109.0,0.000948316737790422
213917,69.05527777777777,2.0,123.0,0.016260162601626018
82652,68.75527777777778,3.0,2304.0,0.0013020833333333333
166156,68.60888888888888,2.0,3310.0,0.0006042296072507553
151544,67.97583333333333,1.0,82.0,0.012195121951219513
27849,66.99805555555555,1.0,923.0,0.0010834236186348862
12415,66.95972222222223,4.0,1131.0,0.0035366931918656055
15475,66.76444444444445,3.0,472.0,0.006355932203389831
127606,66.66638888888889,2.0,8543.0,0.00023410979749502515
63004,66.26194444444444,4.0,1670.0,0.0023952095808383233
59143,66.16194444444444,2.0,9558.0,0.0002092487968194183
43856,66.04138888888889,1.0,2378.0,0.00042052144659377626
183126,66.03055555555555,3.0,110.0,0.02727272727272727
230185,65.01722222222222,1.0,129.0,0.007751937984496124
20349,64.78944444444444,1.0,984.0,0.0010162601626016261
109935,64.09222222222222,3.0,1277.0,0.0023492560689115116
139843,63.87166666666667,1.0,2738.0,0.0003652300949598247
214726,63.85444444444445,2.0,552.0,0.0036231884057971015
168101,63.26722222222222,2.0,18572.0,0.00010768899418479432
137334,62.768055555555556,3.0,556.0,0.00539568345323741
