tag,UpVotes,user_id,rownum
"jquery","135","571","1"
"database","126","571","2"
"c#","105","571","3"
"asp.net-mvc","84","571","4"
"testing","79","571","5"
"objective-c","4689","582","1"
"git","4136","582","2"
"ios","3845","582","3"
"iphone","2684","582","4"
"merge","1122","582","5"
"java","235","988","1"
"jvm-bytecode","142","988","2"
"multithreading","79","988","3"
"deadlock","79","988","4"
"obfuscation","64","988","5"
"c#","5497","1053","1"
"c++","2148","1053","2"
"properties","1881","1053","3"
"reflection","1861","1053","4"
"c","1692","1053","5"
"lookup","42","1054","1"
"ip","42","1054","2"
"country","42","1054","3"
"generics","25","1054","4"
"c#","25","1054","5"
"java","315","1065","1"
"c#","121","1065","2"
"hidden-features","105","1065","3"
".net","34","1065","4"
"c++","20","1065","5"
"php","641","1588","1"
"css","487","1588","2"
"mysql","188","1588","3"
"css-position","178","1588","4"
"css-tables","175","1588","5"
"svn","86","1625","1"
"mysql","80","1625","2"
"mysqldump","79","1625","3"
"mysql-error-1044","79","1625","4"
"c++","58","1625","5"
"c#","316","1644","1"
".net","145","1644","2"
"domain-driven-design","135","1644","3"
"nhibernate","121","1644","4"
"viewmodel","121","1644","5"
"c++","1684","1737","1"
"c","1055","1737","2"
"delphi","391","1737","3"
"struct","233","1737","4"
"abi","202","1737","5"
"wordpress","107","2271","1"
"php","95","2271","2"
"memory-limit","52","2271","3"
"fatal-error","52","2271","4"
"jquery","30","2271","5"
"javascript","1490","2287","1"
"html","747","2287","2"
"php","659","2287","3"
"iframe","607","2287","4"
"widget","590","2287","5"
"python","477","2321","1"
"list","275","2321","2"
"css","261","2321","3"
"html","190","2321","4"
"jquery","188","2321","5"
"asp.net","524","2385","1"
"dynamic-sql","369","2385","2"
"tsql","355","2385","3"
"asp.net-mvc","321","2385","4"
"asp-classic","264","2385","5"
"sql-server","926","3201","1"
"sql","629","3201","2"
"database","378","3201","3"
"c#","366","3201","4"
"coding-style","353","3201","5"
"java","299","3211","1"
"bash","189","4285","1"
"pipe","112","4285","2"
"scope","108","4285","3"
"python","88","4285","4"
"functional-programming","85","4285","5"
"javascript","2079","4321","1"
"dom","1559","4321","2"
"php","488","4321","3"
"arrays","433","4321","4"
"version-control","305","4321","5"
"c++","4726","4323","1"
"python","4289","4323","2"
"c","2080","4323","3"
"git","1981","4323","4"
"git-stash","1681","4323","5"
"ms-access","58","4873","1"
"vba","37","4873","2"
"webmatrix","36","4873","3"
"excel","21","4873","4"
"c#","20","4873","5"
"iphone","16","4910","1"
"core-data","8","4910","2"
"nsfetchedresultscontroller","7","4910","3"
"xcode","6","4910","4"
"unit-testing","6","4910","5"
"c#","116","4911","1"
"visual-studio","19","4911","2"
"adsi","16","4911","3"
"visual-studio-2008","16","4911","4"
"gpo","16","4911","5"
".net","543","4965","1"
"c#","500","4965","2"
"comments","389","4965","3"
"documentation","389","4965","4"
"database","334","4965","5"
"emulation","1123","4977","1"
"c64","1123","4977","2"
"python","288","4977","3"
"c#","282","4977","4"
"cryptography","217","4977","5"
"ios","315","5049","1"
"cocoa-touch","273","5049","2"
"cmd","255","5049","3"
"batch-file","255","5049","4"
"c++","243","5049","5"
"javascript","13593","6782","1"
"jquery","5677","6782","2"
"java","2610","6782","3"
"node.js","1987","6782","4"
"html","1630","6782","5"
"entity-framework","4116","7714","1"
"c#","3062","7714","2"
"asp.net-mvc","2970","7714","3"
".net","2274","7714","4"
"ado.net","1093","7714","5"
"c#","2061","7872","1"
".net","734","7872","2"
"asp.net","618","7872","3"
"c#","12746","267","1"
".net","5623","267","2"
"sql-server","3496","267","3"
"tsql","2636","267","4"
"python","2589","267","5"
"sql-server","7855","740","1"
"sql","4633","740","2"
"tsql","4116","740","3"
"sql-server-2005","2036","740","4"
"sql-server-2008","1858","740","5"
"coldfusion","579","751","1"
"optimization","386","751","2"
"performance","386","751","3"
"javascript","361","751","4"
"html","351","751","5"
"c++","26","1236","1"
"c","17","1236","2"
"bit-shift","17","1236","3"
"binary","17","1236","4"
"bit-manipulation","17","1236","5"
"c++","585","1244","1"
"exception-handling","373","1244","2"
"php","86","1244","3"
"hungarian-notation","51","1244","4"
"naming-conventions","51","1244","5"
"javascript","1373","1324","1"
"jquery","760","1324","2"
"html","548","1324","3"
"css","346","1324","4"
"c","318","1324","5"
"security","850","1820","1"
"mysql","738","1820","2"
"sql-delete","727","1820","3"
"mysql-error-1093","727","1820","4"
"subquery","727","1820","5"
"jquery","4518","1831","1"
"javascript","4080","1831","2"
"c#","1511","1831","3"
"nest","1016","1831","4"
"elasticsearch","1009","1831","5"
"java","860","2443","1"
"php","588","2443","2"
"cmd","497","2443","3"
"windows","497","2443","4"
"hidden-features","423","2443","5"
"c#","1596","2525","1"
"asp.net","1131","2525","2"
".net","690","2525","3"
"asp.net-core","669","2525","4"
"asp.net-core-mvc","667","2525","5"
"iphone","1465","4007","1"
"objective-c","1158","4007","2"
"ios","1033","4007","3"
"uitableview","678","4007","4"
"row-height","504","4007","5"
"c#","2895","4068","1"
".net","845","4068","2"
"sql","479","4068","3"
"winforms","325","4068","4"
"multithreading","304","4068","5"
"sql-server","1928","4337","1"
".net","954","4337","2"
"tsql","831","4337","3"
"c#","780","4337","4"
"sql","675","4337","5"
"php","268","4418","1"
"database","260","4418","2"
"shell","230","4418","3"
"asynchronous","220","4418","4"
"postgresql","183","4418","5"
"c#","1149","5274","1"
".net","726","5274","2"
"sql-server","308","5274","3"
"vb.net","203","5274","4"
"string","185","5274","5"
"asp.net","81","5296","1"
"mono","70","5296","2"
"linux","70","5296","3"
"visual-studio","24","5296","4"
"visual-studio-2010","24","5296","5"
"django","74","6302","1"
"python","68","6302","2"
"javascript","27","6302","3"
"varnish","25","6302","4"
"http","24","6302","5"
"iphone","4309","6330","1"
"ios","3613","6330","2"
"objective-c","2305","6330","3"
"cocoa-touch","1809","6330","4"
"xcode","1312","6330","5"
"java","269","6367","1"
"c++","228","6367","2"
"multithreading","132","6367","3"
"concurrency","118","6367","4"
"semaphore","117","6367","5"
".net","261","6970","1"
"multithreading","229","6970","2"
"com","228","6970","3"
"apartments","211","6970","4"
"c++","139","6970","5"
"sqlite","294","7186","1"
"escaping","294","7186","2"
"sql","128","7186","3"
"actionscript-3","79","7186","4"
"apache-flex","78","7186","5"
"sql","208","7211","1"
"database","198","7211","2"
"sql-server","140","7211","3"
"performance","120","7211","4"
"database-design","61","7211","5"
"iphone","835","7277","1"
"objective-c","657","7277","2"
"ios","571","7277","3"
"uiview","424","7277","4"
"uikit","345","7277","5"
"c#","804","7280","1"
"asp.net","478","7280","2"
".net","474","7280","3"
"sql-server","447","7280","4"
"javascript","257","7280","5"
"c#","1042","8207","1"
"oop","1017","8207","2"
"field","1017","8207","3"
"properties","1017","8207","4"
"git","167","8207","5"
"sql-server","80","8262","1"
"sql","51","8262","2"
"date","31","8262","3"
"php","31","8262","4"
"rows","26","8262","5"
"ruby","5683","8279","1"
"random","1726","8279","2"
"arrays","1712","8279","3"
"ruby-on-rails","1042","8279","4"
"ruby-on-rails-3","619","8279","5"
"jquery","535","8338","1"
"javascript","352","8338","2"
"onblur","312","8338","3"
"click","312","8338","4"
"html","131","8338","5"
"c#","478","8384","1"
"javascript","210","8384","2"
".net","134","8384","3"
"linq","105","8384","4"
"html","105","8384","5"
"xmpp","492","8388","1"
"python","96","8388","2"
"html","1037","96","1"
"c#","640","96","2"
"tags","591","96","3"
"java","309","96","4"
"css","292","96","5"
"c++","1175","112","1"
"stdstring","387","112","2"
"yaml","219","112","3"
"yaml-cpp","202","112","4"
"iphone","172","112","5"
"python","1024","115","1"
"ip-address","496","115","2"
"networking","478","115","3"
"string","455","115","4"
"php","371","115","5"
"ruby-on-rails","3658","1450","1"
"ruby","2267","1450","2"
"javascript","2032","1450","3"
"string","1832","1450","4"
"activerecord","594","1450","5"
"html","59","1482","1"
"notepad++","33","1482","2"
"tidy","33","1482","3"
"htmltidy","33","1482","4"
"css","26","1482","5"
"c#","351","1512","1"
".net","278","1512","2"
"task-parallel-library","227","1512","3"
"python","194","1512","4"
"string","90","1512","5"
"c#","2025","1551","1"
".net","1789","1551","2"
"versioning","1630","1551","3"
"deprecated","1625","1551","4"
"html","247","1551","5"
"c++","14478","1968","1"
"c#","9447","1968","2"
"newline","4116","1968","3"
"arrays","3922","1968","4"
"php","3817","1968","5"
"ruby","17251","2988","1"
"ruby-on-rails","2953","2988","2"
"git","2519","2988","3"
"scala","2038","2988","4"
"javascript","1606","2988","5"
"delphi","2","3633","1"
"invoke","2","3633","2"
"memory-leaks","2","3633","3"
"memory","2","3633","4"
"com","2","3633","5"
".net","351","3641","1"
"c#","322","3641","2"
"io","304","3641","3"
"web-services","45","3641","4"
"bit.ly","44","3641","5"
"c++","555","3719","1"
"oop","192","3719","2"
"friend","169","3719","3"
"encapsulation","169","3719","4"
"windows","106","3719","5"
"objective-c","2238","3737","1"
"ios","2126","3737","2"
"cocoa","1293","3737","3"
"javascript","1079","3737","4"
"delegates","897","3737","5"
"sql-server","687","3743","1"
"sql","669","3743","2"
"sql-server-group-concat","554","3743","3"
"string-concatenation","554","3743","4"
"database","51","3743","5"
"windows","619","3798","1"
"svn","618","3798","2"
"tortoisesvn","614","3798","3"
"icons","552","3798","4"
"c#","402","3798","5"
"javascript","667","4257","1"
"java","556","4257","2"
"svn","397","4257","3"
"dom","297","4257","4"
"collections","283","4257","5"
"python","26578","4279","1"
"subprocess","3453","4279","2"
"datetime","2773","4279","3"
"python-3.x","2290","4279","4"
"timezone","1509","4279","5"
"xss","238","5746","1"
"security","103","5746","2"
"javascript","46","5746","3"
"html","45","5746","4"
"c#","37","5746","5"
"c++","466","5801","1"
"c","206","5801","2"
"multithreading","108","5801","3"
"language-agnostic","84","5801","4"
"asynchronous","84","5801","5"
"svn","6","5965","1"
"java","6","5965","2"
"download","4","5965","3"
"android","4","5965","4"
"ruby","4","5965","5"
"c++","10351","5987","1"
"python","6147","5987","2"
"c","1879","5987","3"
"stl","1044","5987","4"
"algorithm","1040","5987","5"
"cordova","131","6629","1"
"jquery","91","6629","2"
"javascript","91","6629","3"
"mysql","75","6629","4"
"python","67","6629","5"
"oracle","288","6703","1"
"notepad++","122","6703","2"
"java","95","6703","3"
"sql","78","6703","4"
"plsql","72","6703","5"
"sql","1412","6744","1"
"sql-server","1240","6744","2"
"csv","1042","6744","3"
"string-concatenation","1033","6744","4"
"group-concat","1033","6744","5"
"c#","775","7583","1"
"wpf","595","7583","2"
".net","323","7583","3"
"wcf","153","7583","4"
"xaml","142","7583","5"
"java","403","7613","1"
"javascript","370","7613","2"
"jquery","280","7613","3"
"performance","86","7613","4"
"java-8","82","7613","5"
"jquery","42","7618","1"
"javascript","42","7618","2"
"c#","37","7618","3"
".net","31","7618","4"
"asp.net","31","7618","5"
"php","444","7675","1"
"vim","228","7675","2"
"jquery","72","7675","3"
"function","72","7675","4"
"clipboard","58","7675","5"
"javascript","461","7679","1"
"java","334","7679","2"
"regex","159","7679","3"
"django","112","7679","4"
"html","98","7679","5"
"java","2654","8946","1"
"multithreading","531","8946","2"
"static-initializer","410","8946","3"
"static","405","8946","4"
"java-me","405","8946","5"
"asp.net","639","71","1"
"c#","579","71","2"
".net","276","71","3"
"vb.net","245","71","4"
"versions","199","71","5"
"php","26342","476","1"
"javascript","5422","476","2"
"arrays","3536","476","3"
"mysql","2411","476","4"
"html","2211","476","5"
"d","216","1343","1"
"language-agnostic","175","1343","2"
"coding-style","141","1343","3"
"c#","103","1343","4"
"algorithm","92","1343","5"
"java","333","1406","1"
"android","87","1406","2"
"hibernate","82","1406","3"
"jpa","64","1406","4"
"orm","58","1406","5"
"javascript","2155","1423","1"
"html","1323","1423","2"
"css","1132","1423","3"
"center","1125","1423","4"
"alignment","1125","1423","5"
"java","1293","1432","1"
"constructor","210","1432","2"
"linux","157","1432","3"
"string","101","1432","4"
"windows","94","1432","5"
"javascript","5971","2688","1"
"is-empty","3698","2688","2"
"null","3698","2688","3"
"sql-server","1784","2688","4"
"sql","1772","2688","5"
"c#","63","2720","1"
"asp.net","39","2720","2"
"tfs","18","2720","3"
".net","13","2720","4"
"visual-studio-2010","13","2720","5"
"java","234","2935","1"
"nosuchmethoderror","230","2935","2"
"html","65","2935","3"
"limit","54","2935","4"
"local-storage","54","2935","5"
"python","1362","2979","1"
"java","659","2979","2"
"python-2.x","394","2979","3"
"built-in-types","387","2979","4"
"list","291","2979","5"
"math","1100","3508","1"
"java","886","3508","2"
"optimization","749","3508","3"
"perfect-square","749","3508","4"
"algorithm","624","3508","5"
"c++","134","3514","1"
"c","129","3514","2"
"linux","106","3514","3"
"unix","93","3514","4"
"compiler-construction","49","3514","5"
"c#","145","3524","1"
"cryptographic-hash-function","138","3524","2"
"cryptography","138","3524","3"
"hash","138","3524","4"
".net","138","3524","5"
"javascript","1782","3542","1"
"typeof","1501","3542","2"
"object","1501","3542","3"
"null","1501","3542","4"
"undefined","1501","3542","5"
"c#","703","3546","1"
".net","477","3546","2"
"azure","232","3546","3"
"asp.net","157","3546","4"
"configuration","154","3546","5"
"c++","5149","4086","1"
"c","1438","4086","2"
"stl","861","4086","3"
"c#","788","4086","4"
"windows","737","4086","5"
"security","422","4092","1"
"https","413","4092","2"
"http-get","413","4092","3"
"c#","355","4092","4"
"asp.net","274","4092","5"
"javascript","881","4525","1"
"arrays","732","4525","2"
"object","723","4525","3"
"c#","517","4525","4"
".net","395","4525","5"
"powershell","358","4570","1"
"poco","201","4570","2"
"class","201","4570","3"
"scripting","191","4570","4"
".net","93","4570","5"
"ruby-on-rails","996","4590","1"
"c#","594","4590","2"
"partials","330","4590","3"
"ruby","320","4590","4"
"unit-testing","268","4590","5"
"css","561","4636","1"
"html","446","4636","2"
"positioning","380","4636","3"
"php","250","4636","4"
"doctrine-orm","163","4636","5"
".net","758","5640","1"
"c#","740","5640","2"
"asp.net","466","5640","3"
"markup","330","5640","4"
"comments","330","5640","5"
"ruby","73","5646","1"
"php","53","5646","2"
"javascript","50","5646","3"
"ruby-on-rails","48","5646","4"
"jquery","38","5646","5"
"security","560","5674","1"
"php","433","5674","2"
"actionscript","416","5674","3"
"actionscript-3","416","5674","4"
"actionscript-2","416","5674","5"
"objective-c","1079","5696","1"
"java","756","5696","2"
"c++","746","5696","3"
"iphone","712","5696","4"
"cocoa-touch","592","5696","5"
"java","36","6554","1"
"spring","23","6554","2"
"javascript","21","6554","3"
"reactjs","19","6554","4"
"spring-mvc","17","6554","5"
"c++","2135","6610","1"
"c","294","6610","2"
"visual-studio","294","6610","3"
"include","252","6610","4"
"stl","221","6610","5"
"c#","463","8844","1"
"winforms","446","8844","2"
"invoke","438","8844","3"
"multithreading","438","8844","4"
"angularjs","153","8844","5"
"c++","3508","8922","1"
"c++11","1107","8922","2"
"exception","539","8922","3"
"rust","413","8922","4"
"constructor","329","8922","5"
"perl","231","9719","1"
"sicp","39","9719","2"
"terminology","39","9719","3"
"html","2438","29","1"
"css","2385","29","2"
"alignment","2292","29","3"
"vertical-alignment","2292","29","4"
"sql-server","947","29","5"
"c#","2165","369","1"
"sql-server","1392","369","2"
"sql","1282","369","3"
".net","535","369","4"
"batch-file","505","369","5"
"wpf","1643","900","1"
"c#","1440","900","2"
"xaml","517","900","3"
".net","402","900","4"
"itemscontrol","187","900","5"
"c#","4659","905","1"
"enums","1840","905","2"
".net","1617","905","3"
"string","1581","905","4"
"javascript","977","905","5"
"mysql","1595","1862","1"
"sql","1501","1862","2"
"php","1171","1862","3"
"security","904","1862","4"
"sql-injection","866","1862","5"
"windows","2960","1879","1"
"path-variables","2601","1879","2"
"command-line","2601","1879","3"
"cmd","297","1879","4"
"authentication","283","1879","5"
"c++","4504","1898","1"
"c++-faq","3410","1898","2"
"constructor","3402","1898","3"
"explicit","3402","1898","4"
"explicit-constructor","3402","1898","5"
"c#","14662","3043","1"
".net","6626","3043","2"
"sql","5628","3043","3"
"sql-server","4724","3043","4"
"vb.net","3931","3043","5"
"nsis","2442","3501","1"
"windows","1704","3501","2"
"winapi","1499","3501","3"
"c++","767","3501","4"
"installation","727","3501","5"
"python","840","4203","1"
"java","823","4203","2"
"git","620","4203","3"
"javascript","310","4203","4"
"git-show","236","4203","5"
"java","110","4419","1"
"cpu","75","4419","2"
"ram","75","4419","3"
"operating-system","75","4419","4"
"netbeans","39","4419","5"
"c#","3617","4435","1"
"types","1893","4435","2"
