tag,UpVotes,user_id,rownum
"side-channel","127","1574","4"
"vulnerability","123","1574","5"
"windows","11","1587","1"
"cryptography","11","1587","2"
"passwords","11","1587","3"
"known-vulnerabilities","11","1587","4"
"known-vulnerabilities","29","1590","1"
"operating-systems","19","1590","2"
"openbsd","19","1590","3"
"unix","19","1590","4"
"windows","13","1590","5"
"passwords","5","1708","1"
"known-vulnerabilities","3","1708","2"
"client-side","3","1708","3"
"web-browser","3","1708","4"
"encryption","3","1708","5"
"updates","64","1709","1"
"patching","64","1709","2"
"hardware","12","1709","3"
"deletion","12","1709","4"
"sms","9","1709","5"
"passwords","152","1719","1"
"password-management","132","1719","2"
"authentication","92","1719","3"
"encryption","80","1719","4"
"cryptography","66","1719","5"
"sql-injection","1","1739","1"
"mysql","1","1739","2"
"appsec","2","1767","1"
"databases","2","1767","2"
"sql-injection","2","1767","3"
"tls","17","1809","1"
"network","7","1809","2"
"secure-coding","6","1809","3"
"software","6","1809","4"
"architecture","4","1809","5"
"heartbleed","256","1811","1"
"openssl","235","1811","2"
"passwords","157","1811","3"
"tls","90","1811","4"
"tor","75","1811","5"
"email","32","1832","1"
"spam","32","1832","2"
"tls","27","1832","3"
"passphrase","15","1832","4"
"multi-factor","13","1832","5"
"wordpress","32","1836","1"
"attack-vector","32","1836","2"
"authentication","7","1836","3"
"mobile","7","1836","4"
"known-vulnerabilities","6","1836","5"
"physical","153","1850","1"
"operating-systems","131","1850","2"
"linux","48","1850","3"
"passwords","45","1850","4"
"sql-injection","44","1850","5"
"passwords","363","1851","1"
"password-management","363","1851","2"
"authentication","352","1851","3"
"audit","11","1851","4"
"tls","6","1851","5"
"appsec","29","1897","1"
"web-application","22","1897","2"
"xss","22","1897","3"
"user-education","7","1897","4"
"buffer-overflow","7","1897","5"
"tls","129","1898","1"
"cryptography","57","1898","2"
"ssh","42","1898","3"
"encryption","32","1898","4"
"professional-education","25","1898","5"
"php","69","1918","1"
"web-application","69","1918","2"
"passwords","68","1918","3"
"xss","54","1918","4"
"tls","38","1918","5"
"passwords","45","1983","1"
"web-application","26","1983","2"
"tls","25","1983","3"
"encryption","21","1983","4"
"bcrypt","17","1983","5"
"cryptography","26","2006","1"
"hash","26","2006","2"
"antivirus","5","2006","3"
"antimalware","5","2006","4"
"windows-vista","3","2006","5"
"mod-security","13","2016","1"
"appsec","8","2016","2"
"xss","8","2016","3"
"waf","5","2016","4"
"network","5","2016","5"
"cryptography","217","2092","1"
"authentication","123","2092","2"
"network","121","2092","3"
"web-browser","120","2092","4"
"malware","91","2092","5"
"passwords","160","2113","1"
"hash","135","2113","2"
"salt","106","2113","3"
"php","54","2113","4"
"authentication","41","2113","5"
"passwords","283","2122","1"
"cryptography","277","2122","2"
"salt","247","2122","3"
"hash","245","2122","4"
"hmac","200","2122","5"
"web-application","123","2147","1"
"sql-injection","91","2147","2"
"url","91","2147","3"
"encryption","75","2147","4"
"file-system","74","2147","5"
"attacks","35","2210","1"
"privacy","34","2210","2"
"encryption","33","2210","3"
"anonymity","29","2210","4"
"user-education","29","2210","5"
"password-management","18","2221","1"
"tls","14","2221","2"
"encryption","10","2221","3"
"incident-response","9","2221","4"
"exploit","9","2221","5"
"cryptography","61","2232","1"
"encryption","33","2232","2"
"appsec","31","2232","3"
"public-key-infrastructure","28","2232","4"
"authentication","22","2232","5"
"network","8","2256","1"
"professional-education","5","2256","2"
"iptables","5","2256","3"
"firewalls","5","2256","4"
"ipv6","3","2256","5"
"passwords","1366","2264","1"
"cryptography","1163","2264","2"
"tls","1018","2264","3"
"encryption","930","2264","4"
"hash","827","2264","5"
"authentication","151","2344","1"
"hash","141","2344","2"
"salt","130","2344","3"
"wireless","96","2344","4"
"wifi","94","2344","5"
"zip","73","2467","1"
"passwords","73","2467","2"
"malware","63","2467","3"
"websites","63","2467","4"
"phishing","63","2467","5"
"tls","14","2553","1"
"sql-server","10","2553","2"
"passwords","10","2553","3"
"databases","10","2553","4"
"data-leakage","8","2553","5"
"passwords","76","2562","1"
"authentication","39","2562","2"
"hash","27","2562","3"
"cryptography","27","2562","4"
"password-management","25","2562","5"
"passwords","670","2568","1"
"cryptography","526","2568","2"
"tls","368","2568","3"
"encryption","367","2568","4"
"hash","344","2568","5"
"physical","71","2587","1"
"physical-access","71","2587","2"
"server","71","2587","3"
"sd-card","19","2587","4"
"badusb","19","2587","5"
"iphone","3","2590","1"
"malware","3","2590","2"
"passwords","2","2590","3"
"tls","261","2630","1"
"openssl","133","2630","2"
"encryption","123","2630","3"
"heartbleed","107","2630","4"
"wireshark","102","2630","5"
"cryptography","131","2651","1"
"encryption","86","2651","2"
"rsa","41","2651","3"
"public-key-infrastructure","38","2651","4"
"aes","37","2651","5"
"network","76","2678","1"
"attacks","32","2678","2"
"wifi","27","2678","3"
"icmp","23","2678","4"
"passwords","23","2678","5"
"authentication","23","2685","1"
"passwords","23","2685","2"
"php","3","2685","3"
"web-application","3","2685","4"
"attack-prevention","3","2685","5"
"encryption","123","2737","1"
"appsec","91","2737","2"
"passwords","84","2737","3"
"hardware","84","2737","4"
"windows","72","2737","5"
"tls","561","2755","1"
"passwords","400","2755","2"
"encryption","381","2755","3"
"certificates","320","2755","4"
"web-browser","267","2755","5"
"network","23","2769","1"
"network-scanners","18","2769","2"
"attacks","18","2769","3"
"ports","18","2769","4"
"virus","4","2769","5"
"encryption","2","2800","1"
"cryptography","2","2800","2"
"key-generation","2","2800","3"
"trusted-computing","130","2806","1"
"tpm","92","2806","2"
"trust","26","2806","3"
"remote-attestation","20","2806","4"
"hardware","15","2806","5"
"oauth","5","2858","1"
"authorization","5","2858","2"
"web-application","5","2858","3"
"file-upload","3","2858","4"
"javascript","3","2858","5"
"web-browser","49","2980","1"
"network","39","2980","2"
"network-scanners","38","2980","3"
"privacy","36","2980","4"
"vulnerability-scanners","36","2980","5"
"authentication","17","3034","1"
"certificates","16","3034","2"
"tls","16","3034","3"
"certificate-authority","16","3034","4"
"firewalls","14","3034","5"
"web-application","7","3107","1"
"metasploit","6","3107","2"
"cve","6","3107","3"
"spdy","5","3107","4"
"compression","5","3107","5"
"passwords","69","3142","1"
"malware","53","3142","2"
"encryption","52","3142","3"
"cryptography","42","3142","4"
"virus","41","3142","5"
"virus","26","3149","1"
"malware","26","3149","2"
"professional-education","25","3149","3"
"drive-by-download","23","3149","4"
"passwords","11","3149","5"
"mac-address","118","3165","1"
"routing","58","3165","2"
"web-browser","58","3165","3"
"firewalls","49","3165","4"
"passwords","37","3165","5"
"career","6","3168","1"
"web-application","6","3168","2"
"appsec","6","3168","3"
"ddos","2","3168","4"
"fail2ban","2","3168","5"
"tls","67","3173","1"
"passwords","24","3173","2"
"certificates","20","3173","3"
"certificate-authority","19","3173","4"
"encryption","18","3173","5"
"tls","26","3306","1"
"cryptography","18","3306","2"
"certificates","16","3306","3"
"hash","15","3306","4"
"passwords","14","3306","5"
"passwords","658","3339","1"
"encryption","375","3339","2"
"cryptography","288","3339","3"
"tls","269","3339","4"
"hash","262","3339","5"
"tls","1091","3365","1"
"network","715","3365","2"
"encryption","616","3365","3"
"pci-dss","483","3365","4"
"certificates","450","3365","5"
"password-management","17","3396","1"
"fraud","15","3396","2"
"authentication","15","3396","3"
"virus","7","3396","4"
"network","7","3396","5"
"tls","17","3530","1"
"webserver","15","3530","2"
"network","12","3530","3"
"ssh","7","3530","4"
"remote-desktop","7","3530","5"
"tls","4","3535","1"
"known-vulnerabilities","4","3535","2"
"protocols","4","3535","3"
"web-browser","4","3535","4"
"network","18","3630","1"
"legal","12","3630","2"
"logging","11","3630","3"
"geolocation","11","3630","4"
"dhcp","11","3630","5"
"network","18","3650","1"
"encryption","18","3650","2"
"wpa2","18","3650","3"
"linux","18","3650","4"
"wireless","18","3650","5"
"penetration-test","58","3666","1"
"legal","55","3666","2"
"password-management","55","3666","3"
"wifi","50","3666","4"
"cryptography","50","3666","5"
"hardware","24","3668","1"
"antivirus","24","3668","2"
"dns","13","3668","3"
"ip","13","3668","4"
"geolocation","13","3668","5"
"network","19","3675","1"
"email","17","3675","2"
"passwords","16","3675","3"
"authentication","12","3675","4"
"password-management","11","3675","5"
"cve","6","3692","1"
"centos","3","3692","2"
"packet","2","3692","3"
"cvss","2","3692","4"
"linux","2","3692","5"
"steganography","30","3695","1"
"encryption","30","3695","2"
"linux","10","3695","3"
"hardening","10","3695","4"
"exploit","6","3695","5"
"forensics","29","3738","1"
"honeypot","22","3738","2"
"detection","20","3738","3"
"web-browser","19","3738","4"
"brute-force","13","3738","5"
"email","69","3775","1"
"passwords","47","3775","2"
"network","41","3775","3"
"legal","29","3775","4"
"logging","24","3775","5"
"sub-domain","3","3797","1"
"torrent","3","3797","2"
"tor","3","3797","3"
"anonymity","3","3797","4"
"dns","3","3797","5"
"encryption","124","3813","1"
"passwords","110","3813","2"
"network","108","3813","3"
"authentication","105","3813","4"
"webserver","104","3813","5"
"hash","298","3826","1"
"cryptography","269","3826","2"
"tls","213","3826","3"
"encryption","143","3826","4"
"md5","121","3826","5"
"web-application","42","3867","1"
"passwords","35","3867","2"
"tls","26","3867","3"
"network","19","3867","4"
"authentication","18","3867","5"
"tls","80","4204","1"
"encryption","36","4204","2"
"compliance","28","4204","3"
"certificates","28","4204","4"
"attacks","24","4204","5"
"network","5","4270","1"
"brute-force","4","4270","2"
"passwords","4","4270","3"
"ddos","3","4270","4"
"botnet","3","4270","5"
"authentication","2","4279","1"
"network","1","4279","2"
"capabilities","1","4279","3"
"confused-deputy","1","4279","4"
"defense","1","4279","5"
"tls","70","4295","1"
"cryptography","65","4295","2"
"firewalls","54","4295","3"
"disk-encryption","51","4295","4"
"encryption","45","4295","5"
"buffer-overflow","1","4334","1"
"authentication","26","4384","1"
"passwords","20","4384","2"
"java","12","4384","3"
"malware","11","4384","4"
"hash","10","4384","5"
"tls","149","4386","1"
"email","121","4386","2"
"phishing","118","4386","3"
"passwords","105","4386","4"
"vpn","89","4386","5"
"web-application","7","4387","1"
"binary-code","7","4387","2"
"code-review","7","4387","3"
"static-analysis","7","4387","4"
"linux","6","4387","5"
"web-browser","18","4427","1"
"web-application","18","4427","2"
"javascript","18","4427","3"
"xss","18","4427","4"
"appsec","8","4442","1"
"android","8","4442","2"
"mobile","8","4442","3"
"sql-injection","6","4442","4"
"u2f","3","4442","5"
"tls","13","4496","1"
"passwords","10","4496","2"
"credit-card","8","4496","3"
"certificates","8","4496","4"
"web-application","8","4496","5"
"webserver","22","4556","1"
"network","22","4556","2"
"hardware","22","4556","3"
"geolocation","14","4556","4"
"wifi","11","4556","5"
"data-leakage","4","4564","1"
"tcp","4","4564","2"
"ntp","4","4564","3"
"timestamp","4","4564","4"
"sql-injection","13","4612","1"
"denial-of-service","13","4612","2"
"network","11","4652","1"
"wifi","8","4652","2"
"man-in-the-middle","8","4652","3"
"pci-dss","7","4652","4"
"risk-management","7","4652","5"
"rest","7","4654","1"
"legal","7","4654","2"
"access-control","7","4654","3"
"authentication","7","4654","4"
"denial-of-service","7","4654","5"
"virus","4","4709","1"
"threat-modeling","4","4709","2"
"penetration-test","3","4709","3"
"source-code","3","4709","4"
"injection","3","4709","5"
"mobile","2","4744","1"
"encryption","2","4744","2"
"wireless","2","4744","3"
"man-in-the-middle","2","4744","4"
"tls","121","4799","1"
"certificate-authority","121","4799","2"
"trust","117","4799","3"
"encryption","95","4799","4"
"certificates","91","4799","5"
"php","53","4967","1"
"detection","46","4967","2"
"javascript","46","4967","3"
"linux","46","4967","4"
"tls","40","4967","5"
"csrf","29","5002","1"
"sub-domain","19","5002","2"
"cookies","19","5002","3"
"web-application","5","5002","4"
"random","3","5002","5"
"sql-injection","42","5086","1"
"terminology","37","5086","2"
"http","8","5086","3"
"penetration-test","8","5086","4"
"legal","8","5086","5"
"exploit","13","5105","1"
"hardware","13","5105","2"
"corporate-policy","13","5105","3"
"mobile","13","5105","4"
"phone","13","5105","5"
"encryption","151","5133","1"
"hash","127","5133","2"
"aes","98","5133","3"
"passphrase","98","5133","4"
"pbkdf2","98","5133","5"
"attacks","11","5136","1"
"disclosure","11","5136","2"
"intrusion","11","5136","3"
"web-application","91","5169","1"
"sql-injection","68","5169","2"
"xss","61","5169","3"
"passwords","42","5169","4"
"php","37","5169","5"
"source-code","27","5248","1"
"identity","25","5248","2"
"forensics","25","5248","3"
"privacy","25","5248","4"
"physical","25","5248","5"
"unix","4","5304","1"
"exploit","4","5304","2"
"malware","4","5304","3"
"linux","4","5304","4"
"encryption","4","5304","5"
"php","29","5319","1"
"passwords","22","5319","2"
"linux","19","5319","3"
"cryptography","19","5319","4"
"web-application","17","5319","5"
"network-scanners","18","5330","1"
"nmap","18","5330","2"
"network","18","5330","3"
"penetration-test","18","5330","4"
"honeypot","11","5330","5"
"chrome","3","5367","1"
"web-browser","3","5367","2"
"browser-extensions","3","5367","3"
"xss","5","5393","1"
"passwords","2444","5400","1"
"hash","1861","5400","2"
"encryption","1112","5400","3"
"sql-injection","991","5400","4"
"salt","851","5400","5"
"hash","5","5401","1"
"privacy","5","5401","2"
"authentication","108","5405","1"
"websites","87","5405","2"
"encryption","72","5405","3"
"passwords","42","5405","4"
"tpm","30","5405","5"
"passwords","3999","5411","1"
"tls","2855","5411","2"
"encryption","2101","5411","3"
"password-policy","2004","5411","4"
"cryptography","1636","5411","5"
"dns","32","5470","1"
"dns-domain","32","5470","2"
"penetration-test","27","5470","3"
"web-application","27","5470","4"
"azure","27","5470","5"
"port-forwarding","1","5481","1"
"man-in-the-middle","1","5481","2"
"system-compromise","1","5481","3"
"arp-spoofing","1","5481","4"
"vulnerability","1","5481","5"
"key-management","16","5501","1"
"pgp","16","5501","2"
"cve","12","5501","3"
"zero-day","12","5501","4"
"appsec","8","5501","5"
"wifi","276","5518","1"
"hardware","147","5518","2"
"system-compromise","147","5518","3"
"javascript","129","5518","4"
"web-application","80","5518","5"
"timing-attack","20","5707","1"
"cryptography","20","5707","2"
"programming","20","5707","3"
"aes","2","5707","4"
"openssl","2","5707","5"
"antimalware","1","5844","1"
"antivirus","1","5844","2"
"windows","11","5859","1"
"authentication","11","5859","2"
"geolocation","10","5859","3"
"black-hat","10","5859","4"
"keyloggers","10","5859","5"
"encryption","78","5882","1"
"passwords","50","5882","2"
"tls","33","5882","3"
"key-generation","31","5882","4"
"aes","27","5882","5"
"reverse-engineering","12","5896","1"
"hash","9","5896","2"
"privileged-account","9","5896","3"
"linux","9","5896","4"
"defense","9","5896","5"
"linux","28","5979","1"
"password-management","23","5979","2"
"ssh","19","5979","3"
"android","9","5979","4"
"passwords","9","5979","5"
"identity","20","6002","1"
"exploit","20","6002","2"
"dns-domain","20","6002","3"
"dnssec","14","6002","4"
"dns","14","6002","5"
"c++","55","6048","1"
"buffer-overflow","55","6048","2"
"gcc","55","6048","3"
"injection","8","6048","4"
"antimalware","8","6048","5"
"encryption","9","6069","1"
"php","6","6069","2"
"audit","5","6069","3"
"protocols","5","6069","4"
"pci-dss","4","6069","5"
"ransomware","78","6090","1"
"account-security","78","6090","2"
"github","78","6090","3"
"intrusion","78","6090","4"
"virus","19","6090","5"
"javascript","6","6152","1"
"firewalls","3","6152","2"
"java","3","6152","3"
"passwords","528","6203","1"
"hash","215","6203","2"
"password-cracking","205","6203","3"
"authentication","131","6203","4"
"web-application","127","6203","5"
"network","5","6205","1"
"router","4","6205","2"
"dns","4","6205","3"
"wifi","4","6205","4"
"man-in-the-middle","4","6205","5"
"bash","174","6243","1"
"shellshock","174","6243","2"
"attack-prevention","172","6243","3"
"physical","167","6243","4"
"atm","166","6243","5"
"encryption","78","6249","1"
"sniffer","38","6249","2"
"file-encryption","38","6249","3"
"phishing","36","6249","4"
"cryptography","35","6249","5"
"passwords","2307","6253","1"
"authentication","844","6253","2"
"account-security","754","6253","3"
"network","578","6253","4"
"password-policy","551","6253","5"
"network","50","6276","1"
"ip","24","6276","2"
"man-in-the-middle","22","6276","3"
"wireless","17","6276","4"
"ip-spoofing","16","6276","5"
"passwords","79","6341","1"
"account-security","68","6341","2"
"webserver","64","6341","3"
"web","63","6341","4"
"password-reset","62","6341","5"
"usb-drive","2","6372","1"
"malware","2","6372","2"
"windows","2","6372","3"
"xss","2","6372","4"
"linux","2","6372","5"
"virtualization","8","6380","1"
"tls","4","6380","2"
"authentication","3","6380","3"
"binary-code","1","6380","4"
"exploit","1","6380","5"
"web-application","15","6381","1"
"directory-traversal","13","6381","2"
"url-redirection","5","6381","3"
"passwords","3","6381","4"
"password-management","3","6381","5"
"xss","2","6454","1"
"attacks","2","6454","2"
"flooding","2","6454","3"
"ports","2","6454","4"
"network","2","6454","5"
"xss","206","6566","1"
"web-application","204","6566","2"
"csrf","196","6566","3"
"php","122","6566","4"
"web-browser","121","6566","5"
"passwords","21","6585","1"
"malware","20","6585","2"
"authentication","17","6585","3"
"ip","14","6585","4"
"windows","13","6585","5"
"shellshock","36","6612","1"
"injection","36","6612","2"
"bash","36","6612","3"
"sslstrip","4","6612","4"
"url-redirection","4","6612","5"
"privacy","49","6640","1"
"email","36","6640","2"
"client-side","36","6640","3"
"windows","32","6640","4"
"permissions","32","6640","5"
"tls","37","6800","1"
"attacks","35","6800","2"
"network","34","6800","3"
"man-in-the-middle","27","6800","4"
"passwords","26","6800","5"
"virus","10","6810","1"
"web-browser","10","6810","2"
